record play, total number of times is 21
record the, total number of times is 54
record mandolin, total number of times is 12
record for, total number of times is 12
record us, total number of times is 3
record he, total number of times is 43
record made, total number of times is 1
record excuses, total number of times is 2
record but, total number of times is 5
record said, total number of times is 1
record okay, total number of times is 2
record he, total number of times is 44
record knew, total number of times is 3
record it, total number of times is 11
record would, total number of times is 21
record probably, total number of times is 1
record be, total number of times is 3
record the, total number of times is 55
record last, total number of times is 1
record time, total number of times is 5
record he, total number of times is 45
record would, total number of times is 22
record play, total number of times is 22
record for, total number of times is 13
record us, total number of times is 4
record he, total number of times is 46
record tuned, total number of times is 1
record up, total number of times is 4
record the, total number of times is 56
record old, total number of times is 4
record mandolin, total number of times is 13
record and, total number of times is 20
record played, total number of times is 3
record a, total number of times is 20
record few, total number of times is 4
record notes, total number of times is 1
record when, total number of times is 9
record i, total number of times is 15
record looked, total number of times is 1
record around, total number of times is 3
record there, total number of times is 3
record was, total number of times is 22
record not, total number of times is 6
record a, total number of times is 21
record dry, total number of times is 1
record eye, total number of times is 1
record in, total number of times is 17
record the, total number of times is 57
record family, total number of times is 10
record we, total number of times is 9
record saw, total number of times is 1
record before, total number of times is 5
record us, total number of times is 5
record a, total number of times is 22
record quiet, total number of times is 1
record humble, total number of times is 1
record man, total number of times is 4
record with, total number of times is 4
record an, total number of times is 2
record inner, total number of times is 1
record strength, total number of times is 1
record that, total number of times is 16
record comes, total number of times is 1
record from, total number of times is 2
record knowing, total number of times is 1
record god, total number of times is 1
record and, total number of times is 21
record living, total number of times is 1
record with, total number of times is 5
record him, total number of times is 5
record in, total number of times is 18
record one, total number of times is 3
record s, total number of times is 2
record life, total number of times is 3
record dad, total number of times is 15
record would, total number of times is 23
record never, total number of times is 4
record play, total number of times is 23
record the, total number of times is 58
record mandolin, total number of times is 14
record for, total number of times is 14
record us, total number of times is 6
record again, total number of times is 2
record we, total number of times is 10
record felt, total number of times is 2
record at, total number of times is 4
record the, total number of times is 59
record time, total number of times is 6
record that, total number of times is 17
record he, total number of times is 47
record wouldn, total number of times is 1
record t, total number of times is 7
record have, total number of times is 3
record enough, total number of times is 4
record strength, total number of times is 2
record to, total number of times is 25
record play, total number of times is 24
record and, total number of times is 22
record that, total number of times is 18
record makes, total number of times is 1
record the, total number of times is 60
record memory, total number of times is 1
record of, total number of times is 22
record that, total number of times is 19
record day, total number of times is 4
record even, total number of times is 1
record stronger, total number of times is 1
record dad, total number of times is 16
record was, total number of times is 23
record doing, total number of times is 1
record something, total number of times is 2
record he, total number of times is 48
record had, total number of times is 9
record done, total number of times is 1
record all, total number of times is 1
record his, total number of times is 17
record life, total number of times is 4
record giving, total number of times is 1
record as, total number of times is 7
record sick, total number of times is 1
record as, total number of times is 8
record he, total number of times is 49
record was, total number of times is 24
record he, total number of times is 50
record was, total number of times is 25
record still, total number of times is 1
record pleasing, total number of times is 1
record others, total number of times is 2
record dad, total number of times is 17
record sure, total number of times is 1
record could, total number of times is 11
record play, total number of times is 25
record that, total number of times is 20
record mandolin, total number of times is 15
